Journal	Pubmed ID	All Authors (original order)	All Authors Number of Self-References	All Authors Percentage Self-References	Highest Self-Referencing Author	Number of Self-References (max. author)	Total Number of References	Percentage Self-References (max. author)	Manually Verified Number of Self-References (max. author)	Manually Verified Total Number of References	Manually Verified Percentage Self-References (max. author)
Nature	25945738	Seung-Yeol Park;Jia-Shu Yang;Angela B Schmider;Roy J Soberman;Victor W Hsu	0;6;1;2;7	0.0;25.0;4.17;8.33;29.17	Victor W Hsu	7	24	29.17	7	24	29.16666667
mBio	34006648	Transito Garcia-Garcia;Sandrine Poncet;Elodie Cuenot;Thibaut Douché;Quentin Giai Gianetto;Johann Peltier;Pascal Courtin;Marie-Pierre Chapot-Chartier;Mariette Matondo;Bruno Dupuy;Thomas Candela;Isabelle Martin-Verstraete	1;0;1;0;0;3;5;5;1;4;2;3	1.3;0.0;1.3;0.0;0.0;3.9;6.49;6.49;1.3;5.19;2.6;3.9	Pascal Courtin;Marie-Pierre Chapot-Chartier	5	77	6.49	5	81	6.172839506
PlosGenet	35857772	Christophe Lambing;Pallas Kuo;Jaeil Kim;Kim Osman;Amy Leanne Whitbread;Jianhua Yang;Kyuha Choi;F Chris H Franklin;Ian R Henderson	10;2;2;6;0;3;4;8;7	11.9;2.38;2.38;7.14;0.0;3.57;4.76;9.52;8.33	Christophe Lambing	10	84	11.9	10	85	11.76470588
PlosBiol	29702638	Michael Famulare;Christian Selinger;Kevin A McCarthy;Philip A Eckhoff;Guillaume Chabot-Couture	5;0;2;0;2	4.9;0.0;1.96;0.0;1.96	Michael Famulare	5	102	4.9	5	131	3.816793893
Genetics	12586705	Manuel J Muñoz;Donald L Riddle	1;9	1.64;14.75	Donald L Riddle	9	61	14.75	10	65	15.38461538
PlosCompBiol	22719243	Romain Brette	9	11.25	Romain Brette	9	80	11.25	9	91	9.89010989
Bioinformatics	31510705	Muhao Chen;Chelsea J-T Ju;Guangyu Zhou;Xuelu Chen;Tianran Zhang;Kai-Wei Chang;Carlo Zaniolo;Wei Wang	0;0;0;0;0;0;0;0	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	Muhao Chen;Chelsea J-T Ju;Guangyu Zhou;Xuelu Chen;Tianran Zhang;Kai-Wei Chang;Carlo Zaniolo;Wei Wang	0	38	0	1	67	1.492537313
MCB	14585965	Jacqueline Arp;Mark G Kirchhof;Miren L Baroja;Steven H Nazarian;Thu A Chau;Craig A Strathdee;Eric H Ball;Joaquín Madrenas	0;0;2;0;2;1;1;4	0.0;0.0;3.57;0.0;3.57;1.79;1.79;7.14	Joaquín Madrenas	4	56	7.14	4	57	7.01754386
PlosPath	27415008	Rémi Fromentin;Wendy Bakeman;Mariam B Lawani;Gabriela Khoury;Wendy Hartogensis;Sandrina DaFonseca;Marisela Killian;Lorrie Epling;Rebecca Hoh;Elizabeth Sinclair;Frederick M Hecht;Peter Bacchetti;Steven G Deeks;Sharon R Lewin;Rafick-Pierre Sékaly;Nicolas Chomont	3;1;1;1;1;1;0;1;4;4;5;3;8;3;4;7	5.66;1.89;1.89;1.89;1.89;1.89;0.0;1.89;7.55;7.55;9.43;5.66;15.09;5.66;7.55;13.21	Steven G Deeks	8	53	15.09	9	54	16.66666667
Nature	30051891	Nahid Iglesias;Mark A Currie;Gloria Jih;Joao A Paulo;Nertila Siuti;Marian Kalocsay;Steven P Gygi;Danesh Moazed	2;1;2;3;0;0;7;4	4.76;2.38;4.76;7.14;0.0;0.0;16.67;9.52	Steven P Gygi	7	42	16.67	7	43	16.27906977
PlosBiol	33017389	Yanzhu Li;Huan Luo;Xing Tian	0;3;14	0.0;3.75;17.5	Xing Tian	14	80	17.5	16	86	18.60465116
Genetics	19139146	Liqin Cao;Brian S Ort;Athanasia Mizi;Grant Pogson;Elen Kenchington;Eleftherios Zouros;George C Rodakis	1;1;2;0;0;12;6	2.56;2.56;5.13;0.0;0.0;30.77;15.38	Eleftherios Zouros	12	39	30.77	13	46	28.26086957
PlosBiol	31107867	Yunyun Wang;Sheng Liu;Lu Sun;Ning Xu;Shan Shan;Fei Wu;Xiaoping Liang;Yingzi Huang;Ed Luk;Carl Wu;Zheng Zhou	0;0;1;0;2;0;2;3;4;7;3	0.0;0.0;3.57;0.0;7.14;0.0;7.14;10.71;14.29;25.0;10.71	Carl Wu	7	28	25	7	30	23.33333333
Nature	19169242	Chen Zhao;Alan Chen;Catriona H Jamieson;Mark Fereshteh;Annelie Abrahamsson;Jordan Blum;Hyog Young Kwon;Jynho Kim;John P Chute;David Rizzieri;Michael Munchhof;Todd VanArsdale;Philip A Beachy;Tannishtha Reya	2;1;0;0;0;2;2;1;0;0;0;0;4;3	7.14;3.57;0.0;0.0;0.0;7.14;7.14;3.57;0.0;0.0;0.0;0.0;14.29;10.71	Philip A Beachy	4	28	14.29	4	30	13.33333333
Genetics	24037265	Suman Yadav;Madhu G Tapadia	0;1	0.0;1.67	Madhu G Tapadia	1	60	1.67	1	60	1.666666667
PlosCompBiol	16683020	Karen Lipkow	1	1.64	Karen Lipkow	1	61	1.64	1	62	1.612903226
PlosGenet	23754963	Haiqing Fu;Alika K Maunakea;Melvenia M Martin;Liang Huang;Ya Zhang;Michael Ryan;RyangGuk Kim;Chii Meil Lin;Keji Zhao;Mirit I Aladjem	4;0;2;1;1;1;1;0;0;10	7.84;0.0;3.92;1.96;1.96;1.96;1.96;0.0;0.0;19.61	Mirit I Aladjem	10	51	19.61	10	51	19.60784314
mBio	31266871	Brittany A Niccum;Heewook Lee;Wazim MohammedIsmail;Haixu Tang;Patricia L Foster	2;5;2;5;5	3.64;9.09;3.64;9.09;9.09	Heewook Lee;Haixu Tang;Patricia L Foster	5	55	9.09	5	58	8.620689655
PlosCompBiol	30481168	Lina Meinecke;Praveer P Sharma;Huijing Du;Lei Zhang;Qing Nie;Thomas F Schilling	0;0;0;0;2;8	0.0;0.0;0.0;0.0;3.03;12.12	Thomas F Schilling	8	66	12.12	11	75	14.66666667
mBio	21933919	Stewart T Chang;Pavel Sova;Xinxia Peng;Jeffrey Weiss;G Lynn Law;Robert E Palermo;Michael G Katze	0;0;1;0;0;0;5	0.0;0.0;2.17;0.0;0.0;0.0;10.87	Michael G Katze	5	46	10.87	5	49	10.20408163
JCellBiol	17000882	Vladimir Sytnyk;Iryna Leshchyns'ka;Alexander G Nikonenko;Melitta Schachner	6;5;1;14	12.5;10.42;2.08;29.17	Melitta Schachner	14	48	29.17	14	48	29.16666667
Science	31604265	Alexander I Young;Stefania Benonisdottir;Molly Przeworski;Augustine Kong	4;1;0;3	10.26;2.56;0.0;7.69	Alexander I Young	4	39	10.26	4	61	6.557377049
PlosCompBiol	18535663	Pradipta Ray;Suyash Shringarpure;Mladen Kolar;Eric P Xing	0;0;0;1	0.0;0.0;0.0;3.33	Eric P Xing	1	30	3.33	2	44	4.545454545
PlosPath	18688280	Kamna Aggarwal;Florentina Rus;Christie Vriesema-Magnuson;Deniz Ertürk-Hasdemir;Nicholas Paquette;Neal Silverman	2;0;0;0;0;8	4.17;0.0;0.0;0.0;0.0;16.67	Neal Silverman	8	48	16.67	8	48	16.66666667
PlosCompBiol	30943207	Prashant S Hosmani;Teresa Shippy;Sherry Miller;Joshua B Benoit;Monica Munoz-Torres;Mirella Flores-Gonzalez;Lukas A Mueller;Helen Wiersma-Koch;Tom D'Elia;Susan J Brown;Surya Saha	1;1;1;1;1;0;2;1;1;1;2	4.0;4.0;4.0;4.0;4.0;0.0;8.0;4.0;4.0;4.0;8.0	Lukas A Mueller;Surya Saha	2	25	8	3	33	9.090909091
Genetics	16415370	Létizia Camus-Kulandaivelu;Jean-Baptiste Veyrieras;Delphine Madur;Valérie Combes;Marie Fourmann;Stéphanie Barraud;Pierre Dubreuil;Brigitte Gouesnard;Domenica Manicacci;Alain Charcosset	0;0;0;0;0;0;1;2;0;3	0.0;0.0;0.0;0.0;0.0;0.0;3.85;7.69;0.0;11.54	Alain Charcosset	3	26	11.54	5	45	11.11111111
PlosGenet	27560976	Da-Gang Hu;Cui-Hui Sun;Quan-Yan Zhang;Jian-Ping An;Chun-Xiang You;Yu-Jin Hao	2;2;0;0;3;4	3.64;3.64;0.0;0.0;5.45;7.27	Yu-Jin Hao	4	55	7.27	5	64	7.8125
PlosCompBiol	34499658	Andrea Tangherloni;Marco S Nobile;Paolo Cazzaniga;Giulia Capitoli;Simone Spolaor;Leonardo Rundo;Giancarlo Mauri;Daniela Besozzi	2;4;4;0;0;0;3;4	6.9;13.79;13.79;0.0;0.0;0.0;10.34;13.79	Marco S Nobile;Paolo Cazzaniga;Daniela Besozzi	4	29	13.79	14	74	18.91891892
Nature	34616062	Trygve E Bakken;Nikolas L Jorstad;Qiwen Hu;Blue B Lake;Wei Tian;Brian E Kalmbach;Megan Crow;Rebecca D Hodge;Fenna M Krienen;Staci A Sorensen;Jeroen Eggermont;Zizhen Yao;Brian D Aevermann;Andrew I Aldridge;Anna Bartlett;Darren Bertagnolli;Tamara Casper;Rosa G Castanon;Kirsten Crichton;Tanya L Daigle;Rachel Dalley;Nick Dee;Nikolai Dembrow;Dinh Diep;Song-Lin Ding;Weixiu Dong;Rongxin Fang;Stephan Fischer;Melissa Goldman;Jeff Goldy;Lucas T Graybuck;Brian R Herb;Xiaomeng Hou;Jayaram Kancherla;Matthew Kroll;Kanan Lathia;Baldur van Lew;Yang Eric Li;Christine S Liu;Hanqing Liu;Jacinta D Lucero;Anup Mahurkar;Delissa McMillen;Jeremy A Miller;Marmar Moussa;Joseph R Nery;Philip R Nicovich;Sheng-Yong Niu;Joshua Orvis;Julia K Osteen;Scott Owen;Carter R Palmer;Thanh Pham;Nongluk Plongthongkum;Olivier Poirion;Nora M Reed;Christine Rimorin;Angeline Rivkin;William J Romanow;Adriana E Sedeño-Cortés;Kimberly Siletti;Saroja Somasundaram;Josef Sulc;Michael Tieu;Amy Torkelson;Herman Tung;Xinxin Wang;Fangming Xie;Anna Marie Yanny;Renee Zhang;Seth A Ament;M Margarita Behrens;Hector Corrada Bravo;Jerold Chun;Alexander Dobin;Jesse Gillis;Ronna Hertzano;Patrick R Hof;Thomas Höllt;Gregory D Horwitz;C Dirk Keene;Peter V Kharchenko;Andrew L Ko;Boudewijn P Lelieveldt;Chongyuan Luo;Eran A Mukamel;António Pinto-Duarte;Sebastian Preissl;Aviv Regev;Bing Ren;Richard H Scheuermann;Kimberly Smith;William J Spain;Owen R White;Christof Koch;Michael Hawrylycz;Bosiljka Tasic;Evan Z Macosko;Steven A McCarroll;Jonathan T Ting;Hongkui Zeng;Kun Zhang;Guoping Feng;Joseph R Ecker;Sten Linnarsson;Ed S Lein	4;0;0;2;0;1;1;4;2;1;1;3;4;0;1;3;4;0;1;3;2;4;1;0;4;0;0;0;2;3;3;0;0;0;3;3;0;0;0;0;0;0;0;6;0;3;1;0;0;0;0;0;0;0;0;0;3;2;0;0;0;1;1;3;0;1;0;0;1;0;0;2;0;1;0;1;0;3;1;0;2;2;2;0;3;1;1;0;0;0;6;1;1;0;5;2;4;1;2;3;4;2;4;3;3;7	5.48;0.0;0.0;2.74;0.0;1.37;1.37;5.48;2.74;1.37;1.37;4.11;5.48;0.0;1.37;4.11;5.48;0.0;1.37;4.11;2.74;5.48;1.37;0.0;5.48;0.0;0.0;0.0;2.74;4.11;4.11;0.0;0.0;0.0;4.11;4.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.22;0.0;4.11;1.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.11;2.74;0.0;0.0;0.0;1.37;1.37;4.11;0.0;1.37;0.0;0.0;1.37;0.0;0.0;2.74;0.0;1.37;0.0;1.37;0.0;4.11;1.37;0.0;2.74;2.74;2.74;0.0;4.11;1.37;1.37;0.0;0.0;0.0;8.22;1.37;1.37;0.0;6.85;2.74;5.48;1.37;2.74;4.11;5.48;2.74;5.48;4.11;4.11;9.59	Ed S Lein	7	73	9.59	14	97	14.43298969
